label,text
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,I'm working technical support :)voice process.
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago"""
ham,K..k.:)congratulation ..
ham,"I'm in a meeting, call me later at"
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
ham, &lt;#&gt;  in mca. But not conform.
ham,He also knows about lunch menu only da. . I know
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‰Û÷re in b‰Û÷ham. Have a jolly good rest of week
ham,I've reached already.
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
ham,Ma head dey swell oh. Thanks for making my day
ham,I cant pick the phone right now. Pls send a message
ham,U GOIN OUT 2NITE?
ham,"Sorry, I'll call later"
ham,It only does simple arithmetic not percentages.
ham,"Like  &lt;#&gt; , same question"
ham,"Damn, poor zac doesn't stand a chance"
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
ham,"Cool, what time you think you can get here?"
ham,"Ok, be careful ! Don't text and drive !"
ham,Good morning princess! How are you?
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
ham,Will Ì_ b going to esplanade fr home?
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,"I don't think I can get away for a trek that long with family in town, sorry"
ham,May i call You later Pls
ham,Ya srsly better than yi tho
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
ham,K:)i will give my kvb acc details:)
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
ham,Yes. It's all innocent fun. O:-)
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
ham, &lt;#&gt;  mins but i had to stop somewhere first.
ham,Ok enjoy . R u there in home.
ham,Hi.what you think about match?
ham,"fyi I'm at usf now, swing by the room whenever"
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,Asking do u knw them or nt? May be ur frnds or classmates?
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,K.k..how is your sister kids?
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,I am taking half day leave bec i am not well
ham,How are you. Wish you a great semester
ham,"\Hey! do u fancy meetin me at 4 at cha åÐ hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x\"""""
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
ham,I think asking for a gym is the excuse for lazy people. I jog.
ham,If you r @ home then come down within 5 min
ham,Its sarcasm.. .nt scarcasim
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,But i dint slept in afternoon.
ham,Tell me whos this pls:-)
ham,So what do you guys do.
spam,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow
ham,"Yes, princess. Toledo."
ham,Lol ok. I'll snatch her purse too.
ham,The basket's gettin full so I might be by tonight
ham,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
ham,Not to worry. I'm sure you'll get it.
ham,That's cause your old. I live to be high.
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But
ham,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n"
ham,1's finish meeting call me.
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. 
ham,Then Ì_ come n pick me at 530 ar?
ham,"Cool, text me when you head out"
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks
ham,Gud mrng dear have a nice day
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
ham,My exam is for february 4. Wish you a great day.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,U come n search tat vid..not finishd..
ham,And several to you sir.
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham,My sister cleared two round in birla soft yesterday.
ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
ham,"Sorry, I'll call later"
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)"""
ham,May b approve panalam...but it should have more posts..
ham,U reach orchard already? U wan 2 go buy tickets first?
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386
ham,But pls dont play in others life.
ham,I dunno until when... Lets go learn pilates...
ham,Thnx dude. u guys out 2nite?
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,Go fool dont cheat others ok
ham,"Sorry, I'll call later"
ham,Then u drive lor.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Alright i have a new goal now
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,\Keep ur problems in ur heart
ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,Thanx...
ham,Very hurting n meaningful lines ever: \I compromised everything for my love
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
ham,So can collect ur laptop?
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,If you don't respond imma assume you're still asleep and imma start calling n shit
ham,Should I tell my friend not to come round til like  &lt;#&gt; ish?
ham,"alright, I'll make sure the car is back tonight"
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,"Sorry, I can't help you on this."
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Need a coffee run tomo?Can't believe it's that time of week already
ham,Staff of placement training in Amrita college.
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\"""""
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
ham,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx
ham,Enjoy ur life. . Good night
ham,"Bill, as in: Are there any letters for me. i‰Ûªm expecting one from orange that isn‰Ûªt a bill but may still say orange on it."
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
ham,I am going to sao mu today. Will be done only at 12
ham,"I just got home babe, are you still awake ?"
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
spam,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP
ham,"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*"
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,"How about clothes, jewelry, and trips?"
ham,Was playng 9 doors game and gt racing on phone lol
ham,Hey now am free you can call me.
ham,Im done. Just studyn in library
ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
ham,But you dint in touch with me.
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,Serious? What like proper tongued her
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,Can you pls send me that company name. In saibaba colany
ham,I've reached home finally...
ham,"Sorry da thangam, very very sorry i am held up with prasad."
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,Yes:)here tv is always available in work place..
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
ham,it's really getting me down just hanging around.
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
spam,Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
ham,Hi msg me:)i'm in office..
ham,Now am free call me pa.
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Oh great. I.ll disturb him more so that we can talk.
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,Love it! I want to flood that pretty pussy with cum...
ham,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.
ham,Dad went out oredi... 
spam,85233 FREE>Ringtone!Reply REAL
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,Horrible bf... I now v hungry...
ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
ham,Wif my family booking tour package.
ham,"Haven't seen my facebook, huh? Lol!"
ham,Reverse is cheating. That is not mathematics.
ham,Welp apparently he retired
ham,Watching tv now. I got new job :)
ham,I cant pick the phone right now. Pls send a message
spam,You have 1 new voicemail. Please call 08719181513.
ham,K.i did't see you.:)k:)where are you now?
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,Is toshiba portege m100 gd?
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,"Hi this is yijue, can i meet u at 11 tmr?"
ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,Yun buying... But school got offer 2000 plus only...
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
ham,Hi' Test on  &lt;#&gt; rd ....
ham,Please leave this topic..sorry for telling that..
ham,Good Morning plz call me sir
ham,What you did in  leave.
ham,Double eviction this week - Spiral and Michael and good riddance to them!
ham,I am not sure about night menu. . . I know only about noon menu
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,You are a big chic. Common. Declare
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,I want to lick your pussy now...
ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
ham,"I think we're going to finn's now, come"
ham,As in different styles?
ham,"Now, whats your house # again ? And do you have any beer there ?"
ham,I will reach ur home in  &lt;#&gt;  minutes
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,Am slow in using biola's fne
ham,Tell me pa. How is pain de.
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,Are there TA jobs available? Let me know please cos i really need to start working
ham,I'm going for bath will msg you next  &lt;#&gt;  min..
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
ham,"Hmph. Go head, big baller."
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,U too...
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
ham,Surely result will offer:)
ham,Yeah sure I'll leave in a min
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
ham,Shall i ask one thing if you dont mistake me.
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
ham,"Alright, see you in a bit"
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,Can Ì_ send me a copy of da report?
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,WOT U UP 2 J?
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
ham,K.i will send in  &lt;#&gt;  min:)
ham,"Er, hello, things didn‰Û÷t quite go to plan ‰ÛÒ is limping slowly home followed by aa and with exhaust hanging off"
ham,Now got tv 2 watch meh? U no work today?
ham,Just come home. I don't want u to be miserable
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
ham,Thats cool. i liked your photos. You are very sexy!
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906
ham,To day class is there are no class.
ham,Can a not?
ham,Hope you are not scared!
ham,Ok ok take care. I can understand.
ham,So that takes away some money worries
ham,U don't remember that old commercial?
ham,"I'm not coming over, do whatever you want"
ham,Who u talking about?
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
ham,Then u going ikea str aft dat?
ham,Yes fine 
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
ham,Yep get with the program. You're slacking.
ham,Ya it came a while ago
ham,Sweet heart how are you?
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
ham,You can jot down things you want to remember later.
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,Raviyog Peripherals bhayandar east
ham,"Sorry, I'll call later in meeting."
ham,We're on the opposite side from where we dropped you off
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
ham,"Hiya, probably coming home * weekend after next"
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,Yo guess what I just dropped
ham,"Its ok, if anybody asks abt me, u tel them..:-P"
ham,What type of stuff do you sing?
ham,Ok thanx...
ham,Happy new years melody!
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
ham,That's y we haf to combine n c how lor...
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,Good morning princess! How are you?
ham,I keep ten rs in my shelf:) buy two egg.
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
ham,This is my number by vivek..
ham,Shall i start from hear.
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham,ARR birthday today:) i wish him to get more oscar.
ham,"Excellent, I'll see what riley's plans are"
ham,Send me your resume:-)
ham,Your bill at 3 is å£33.65 so thats not bad!
ham,Goodmorning sleeping ga.
ham,"K I'm ready,  &lt;#&gt; ?"
ham,Gud ni8.swt drms.take care
ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
ham,That means get the door
ham,Ya very nice. . .be ready on thursday
ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
ham,"K, wat s tht incident?"
ham,Mm umma ask vava also to come tell him can play later together
ham,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng"""
ham,Still i have not checked it da. . .
ham,Hey what happen de. Are you alright.
ham,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\"""""
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\"""""
ham,At 7 we will go ok na.
ham,"Sorry, I can't help you on this."
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,R u over scratching it?
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
ham,Do Ì_ noe if ben is going?
ham,Lol no. U can trust me.
ham,K sure am in my relatives home. Sms me de. Pls:-)
ham,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,"Not much, just some textin'. How bout you?"
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
ham,Don no da:)whats you plan?
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
ham,Waiting for your call.
ham,Hey are we going for the lo lesson or gym? 
